_id,product_id,name,current_price,image_url,size,description,category,sub_category,Store
6549d21c3b31f5476d49df0b,11,Woolen Sweater, 59.99 ,https://img.freepik.com/free-photo/young-woman-wearing-cozy-winter-clothes_273609-22105.jpg?w=1380&t=st=1699320323~exp=1699320923~hmac=4fa0112e2de7168aa3fad98f162c0ebe63aa4461979fc26cee82478358f6bd72,S,Cozy woolen sweater for warmth and comfort.,Apparel,Tops,Walmart
6549d21c3b31f5476d49df0c,12,Ankle Boots, 119.99 ,https://img.freepik.com/free-photo/shot-elegant-beautiful-black-heels-with-metal-stones-isolated_181624-32296.jpg?w=740&t=st=1699320371~exp=1699320971~hmac=84c1b2740415a28049e524cfce7a4f46970d157601d50faa180e3cf7a4923a4d,6,Stylish ankle boots in genuine leather.,Footwear,Boots,Amazon
6549d21c3b31f5476d49df0d,13,Sports Cap, 24.99 ,https://img.freepik.com/free-photo/view-trucker-hat-with-baseballs_23-2149410053.jpg?w=1060&t=st=1699320420~exp=1699321020~hmac=3f07ceef58ae89f3d506d81d8c8c9ee7f7c07ff5a77dc5e079d1489b1ce4ff0d,One Size,Adjustable sports cap for outdoor activities.,Accessories,Hats,Walmart
6549d21c3b31f5476d49df0e,14,Mesh Running Shoes, 74.99 ,https://img.freepik.com/free-photo/sneakers_1122-2301.jpg?w=1060&t=st=1699320472~exp=1699321072~hmac=07feab1ae7acb827dc09860f9b0c9d0bd40f9f147399181c64f59c070ab529ff,8,Breathable mesh running shoes for athletic use.,Footwear,Athletic Shoes,Amazon
6549d21c3b31f5476d49df0f,15,Gemstone Necklace, 149.99 ,https://img.freepik.com/free-photo/close-up-details-jewelry-young-attractive-woman-stylish-black-dress-posing-tropical-villa-sexy-elegant-summer-style-fashionable-necklace-accessories_285396-5718.jpg?w=1060&t=st=1699320522~exp=1699321122~hmac=71871038eef2c897128bc60ce6ee8440bf62349d80a694508900590bf9857cf8,One Size,Elegant necklace with a striking gemstone pendant.,Accessories,Jewelry,Walmart
6549d21c3b31f5476d49df10,16,Graphic Tee, 19.99 ,https://img.freepik.com/free-photo/young-girl-with-pink-hairs-crossing-her-hands-her-face_114579-25114.jpg?w=740&t=st=1699320567~exp=1699321167~hmac=2c8848878f595fb58d5b1d696cd3da70ec95cc7792be962768ad38e99d64df0d,XS,Cotton tee with a bold graphic print on the front.,Apparel,Tops,Amazon
6549d21c3b31f5476d49df11,17,Pleated Skirt, 45.99 ,https://img.freepik.com/free-photo/young-girl-with-red-skirt-leaning-white-metal-railing_1157-1587.jpg?w=360&t=st=1699320601~exp=1699321201~hmac=4f21e1f569595b642ca35bcaee7237d0e9f90a33b91f39caf6bfd7c9536949bc,S,Chic pleated skirt that pairs well with any blouse.,Apparel,Bottoms,Walmart
6549d21c3b31f5476d49df12,18,Crossbody Bag, 55.99 ,https://img.freepik.com/free-photo/close-up-young-woman-checking-handbag_23-2148679353.jpg?w=1380&t=st=1699320871~exp=1699321471~hmac=9834ce2efe7b34369b998f418897401d83ffed6fb7718e45b6d205639d0bee5b,One Size,Compact and convenient crossbody bag for everyday essentials.,Accessories,Bags,Amazon
6549d21c3b31f5476d49df13,19,Biker Shorts, 25.99 ,https://img.freepik.com/premium-photo/strong-male-cyclist-sportswear-glasses-protective-helmet-walking-with-his-bike-forest-take-break-after-riding-sky-blue-forest-background_124865-20380.jpg?w=360,XS,High-waisted biker shorts with excellent flexibility.,Apparel,Activewear,Walmart
6549d21c3b31f5476d49df14,20,Baseball Jacket, 79.99 ,https://img.freepik.com/free-photo/still-life-rendering-jackets-display_23-2149745028.jpg?w=1060&t=st=1699320965~exp=1699321565~hmac=1def5ef59a86dea3a5cdacde9b85dcfafc759b6ddf4a0fc1cb2d0af06c94827b,M,Classic baseball jacket with striped trims and snap buttons.,Apparel,Outerwear,Amazon
6549d21c3b31f5476d49df15,21,High Heels, 65.99 ,https://img.freepik.com/free-photo/shoes_1303-3768.jpg?w=996&t=st=1699321083~exp=1699321683~hmac=13c4694fb4e4b1f8ef5ed850fed8e41f7bcb7b1534ceabc1f31132ed13951338,6,Elegant high heels with a patent leather finish.,Footwear,Heels,Walmart
6549d21c3b31f5476d49df16,22,Chunky Knit Hat, 18.99 ,https://img.freepik.com/free-photo/young-funny-beautiful-fair-haired-woman-knited-hat-sweater-smiling-posing-violet-copy-space_176420-7697.jpg?w=360&t=st=1699321120~exp=1699321720~hmac=d3ef6d4f7d4025ba5335ee1f45073c8d65213e3ea401c81344329312ee39f49b,One Size,Thick knit hat for those extra cold days.,Accessories,Hats,Amazon
6549d21c3b31f5476d49df17,23,Silk Tie, 39.99 ,https://img.freepik.com/free-photo/man-corrects-belt-fees-groom-man-s-hands-dressing-man-buttons-pants-jeans_8353-5892.jpg?w=1060&t=st=1699321155~exp=1699321755~hmac=aa0c1650178f718d09a1c6daa8efdd2e4bd4b3869ca688633998d00e2ef9d665,One Size,Sophisticated silk tie with a modern pattern.,Accessories,Ties,Walmart
6549d21c3b31f5476d49df18,24,Linen Blazer, 99.99 ,https://img.freepik.com/free-photo/fashion-portrait-young-elegant-woman_1328-2738.jpg?w=360&t=st=1699321218~exp=1699321818~hmac=e9e74425b777df6dc9528d3956b8fd5cf2627c0b2ef8e1ac21edaebb5ce12905,S,Breathable linen blazer ideal for formal and casual occasions.,Apparel,Outerwear,Amazon
6549d21c3b31f5476d49df19,25,Cuff Bracelet, 52.00 ,https://img.freepik.com/free-photo/jewellery-bangle-background-with-place-text-banner-fashion-accessories_460848-13235.jpg?w=826&t=st=1699321248~exp=1699321848~hmac=77682df0ecc0c42c641abc6053df9b045d83b532178e7f423e8f78fe27a2b904,One Size,"Elegant cuff bracelet with intricate designs, perfect for accessorizing any outfit.",Accessories,Jewelry,Walmart
6549d21c3b31f5476d49df1a,26,Cashmere Gloves, 30.00 ,https://img.freepik.com/free-photo/close-up-hands-with-winter-gloves_23-2148306375.jpg?w=1060&t=st=1699321298~exp=1699321898~hmac=6a633e7cfdf8c74261f4469110ee2fc7dc0a68ae4818003bbf5bf4fcfa8dc149,One Size,Soft cashmere gloves to keep your hands warm in style.,Accessories,Gloves,Amazon
6549d21c3b31f5476d49df1b,27,Statement Belt, 25.00 ,https://img.freepik.com/free-photo/fashion-belt-with-buckle_74190-2607.jpg?w=1060&t=st=1699321339~exp=1699321939~hmac=59aa6d21daf29d2d6c63271a7b3936899f7363061adf677726a47bd35866376a,S,Leather belt with a bold buckle to make a statement.,Accessories,Belts,Walmart
6549d21c3b31f5476d49df1c,28,Slim Fit Chinos, 40.00 ,https://img.freepik.com/free-photo/young-woman-wearing-black-hat-using-mobile-phone_23-2148148182.jpg?w=360&t=st=1699321381~exp=1699321981~hmac=28cf16a220615f8337a31bd28144597bc4650d6d8389b82b6baebf38dc269203,30,Versatile slim fit chinos that are perfect for any occasion.,Apparel,Bottoms,Amazon
6549d21c3b31f5476d49df1d,29,Chunky Knit Sweater, 50.00 ,https://img.freepik.com/free-photo/horizontal-shot-positive-european-woman-white-winter-clothes-red-pantyhose-poses-beige-wall-enjoys-spare-time-being-good-mood-people-emotions-facial-expressions_273609-26617.jpg?w=1060&t=st=1699321465~exp=1699322065~hmac=5016c877b3e287f63d75f990382d7028dab04566e71774beed60ffde122dc936,S,"A cozy chunky knit sweater for a comfy, casual look.",Apparel,Tops,Walmart
6549d21c3b31f5476d49df1e,30,Retro High Tops, 60.00 ,https://img.freepik.com/free-photo/young-lady-roller-skates-screaming-pink-background-studio-shot-fashionable-pinup-girl_197531-13320.jpg?w=1060&t=st=1699321565~exp=1699322165~hmac=67086c9879bffead292621aa26c84125d44a6f2396755e30ce598065e1802bfa,7,Bring back the '80s with these stylish retro high tops.,Footwear,Sneakers,Amazon
6549d21c3b31f5476d49df1f,31,Floral Midi Skirt, 35.00 ,https://img.freepik.com/free-photo/smiling-walking-going-fun-background-street_1303-2792.jpg?w=360&t=st=1699321869~exp=1699322469~hmac=6ee465e696c1864c894b8ce14607c102576c1bbd00c611494d6685f259d1fc3e,S,Breeze through the day with this light and airy floral midi skirt.,Apparel,Bottoms,Walmart
6549d21c3b31f5476d49df20,32,Classic Fedora, 22.00 ,https://img.freepik.com/free-photo/fashionable-fedora-hat-studio_23-2150744023.jpg?w=360&t=st=1699321897~exp=1699322497~hmac=6da9cddfc7fa5bd9185b46bef3ac4b9806284ff3cb4060dd17392783330414c3,S,A timeless fedora hat that adds sophistication to any outfit.,Accessories,Hats,Amazon
6549d21c3b31f5476d49df21,33,Vintage Denim Jacket, 65.00 ,https://img.freepik.com/free-photo/woman-model-demonstrating-winter-cloths_1303-16947.jpg?w=996&t=st=1699321957~exp=1699322557~hmac=b087269e1c12522e7a4a77aaef1f78b333d65ba0373dc8a81a60a0231b115d9a,M,Rugged and stylish vintage denim jacket for a classic look.,Apparel,Outerwear,Walmart
6549d21c3b31f5476d49df22,34,Yoga Pants, 37.00 ,https://img.freepik.com/free-photo/blonde-woman-holding-yoga-mat-blue-sports-bra-leggings-full-body_53876-104298.jpg?w=360&t=st=1699321987~exp=1699322587~hmac=cf5e4fc1661e42c8e47f19a0e6151bda5b0eab5b3222e1f01570e1b0056d02e4,XS,Flexible and durable yoga pants for your workout needs.,Apparel,Activewear,Amazon
6549d21c3b31f5476d49df23,35,Embroidered Clutch, 45.00 ,https://img.freepik.com/free-photo/hand-bag-layout-with-place-text-women-s-accessories-jewellery-background-mockup-banner-fashion-accessories_460848-13211.jpg?w=826&t=st=1699322060~exp=1699322660~hmac=1fab612307e9127171f81d7a25299ba5b6d190b800442ded373a638b5539c9f3,One Size,An elegant clutch with beautiful embroidery detail.,Accessories,Bags,Walmart
6549d21c3b31f5476d49df24,36,Aviator Sunglasses, 42.00 ,https://img.freepik.com/free-photo/portrait-handsome-confident-stylish-hipster-lambersexual-modelmodern-man-dressed-white-shirt-fashion-male-posing-street-background-near-skyscrapers-sunglasses-outdoors-sunset_158538-20622.jpg?w=996&t=st=1699322092~exp=1699322692~hmac=b38f0d526f4924e0b9febe8efad7f3c565208112276eb85d343bda13d2d6b083,One Size,Classic aviator sunglasses to complete your cool look.,Accessories,Sunglasses,Amazon
6549d21c3b31f5476d49df25,37,Ankle Boots, 75.00 ,https://img.freepik.com/free-photo/boots-woman-autumnal-forest_329181-17144.jpg?w=996&t=st=1699322123~exp=1699322723~hmac=d7cbc64adef057c08409d12e7c60336be61a666a216a71293f305eb1222faf9c,6,Chic ankle boots that go well with jeans or a dress.,Footwear,Boots,Walmart
6549d21c3b31f5476d49df26,38,Silk Scarf, 25.00 ,https://img.freepik.com/free-photo/beautiful-scarf_1203-7989.jpg?w=996&t=st=1699322164~exp=1699322764~hmac=a7771624770fcf85423a03b651892dd3e90a1899b9efb7b810b1865f5f27961a,One Size,Luxurious silk scarf with a colorful print.,Accessories,Scarves,Amazon
6549d21c3b31f5476d49df27,39,Leather Wallet, 40.00 ,https://img.freepik.com/free-photo/fashion-portrait-young-businessman-handsome-model-man-dressed-elegant-brown-suit-with-accessories_158538-11186.jpg?w=900&t=st=1699322189~exp=1699322789~hmac=33023061746e61333d73bf8fbf11501e7c77845dd6ff4807f047f4a1f41bc937,One Size,A sleek leather wallet with ample compartments for essentials.,Accessories,Wallets,Walmart
6549d21c3b31f5476d49df28,40,Mesh Sport Sneakers, 48.00 ,https://img.freepik.com/free-photo/girl-sportswear-rocks_169016-1886.jpg?w=826&t=st=1699322231~exp=1699322831~hmac=7bdda7f5a791b176c72e448504362b26944df8ade6c3b102311cd92785724c09,7,Breathable mesh sneakers for an active lifestyle.,Footwear,Sneakers,Amazon
6549d21c3b31f5476d49df29,41,Maxi Dress, 60.00 ,https://img.freepik.com/free-photo/stylish-traveller-with-hat-walking-down-shore_23-2148588585.jpg?w=1060&t=st=1699322317~exp=1699322917~hmac=d13bdea0ff13ac229c04d94fa0734de94f58183a510f4cad87c3aee64d0fafe2,S,Flowy boho maxi dress perfect for a sunny day out.,Apparel,Dresses,Walmart
6549d21c3b31f5476d49df2a,42,Leather Messenger Bag, 90.00 ,https://img.freepik.com/premium-photo/leather-bag-handbag-sling-bag-made-brown-leather-minimalist-style-minimalist-luxurious-retro-color_697952-651.jpg?w=360,One Size,Durable leather messenger bag for the modern professional.,Accessories,Bags,Amazon
6549d21c3b31f5476d49df2b,43,Polarized Sports Sunglasses, 52.00 ,https://img.freepik.com/free-photo/cycling-is-my-biggest-passion_329181-8655.jpg?w=360&t=st=1699322419~exp=1699323019~hmac=f16c2bc1a6fe554914c88253033699639d08e720e5ccf9e62df6c716faa40201,One Size,High-performance sports sunglasses with polarized lenses.,Accessories,Sunglasses,Walmart
6549d21c3b31f5476d49df2c,44,Wool Beanie, 18.00 ,https://img.freepik.com/free-photo/front-view-elegant-young-woman_23-2148306366.jpg?w=1060&t=st=1699322458~exp=1699323058~hmac=4a27ae78ffc40cfd297d378a981a5a81e8615866a96157bc7f4a813ac5a72cd5,One Size,Warm wool beanie for those chilly days.,Accessories,Hats,Amazon
6549d21c3b31f5476d49df2d,45,Strappy Sandals, 32.00 ,https://img.freepik.com/free-photo/close-up-details-legs-wearing-wedges-sandal-shoes-footwear-stylish-beautiful-woman-sitting-deck-chair-tropical-style-outfit-summer-fashion-trend-straw-handbag-accessories-vacation_285396-4364.jpg?w=1060&t=st=1699322510~exp=1699323110~hmac=438cac4c2d584990d202eab6a63e9d5ae5d2f217a1b9faa5b12382e58ed99b47,6,Elegant strappy sandals with a comfortable fit for evening wear.,Footwear,Sandals,Walmart
6549d21c3b31f5476d49df2e,46,Graphic Tee, 20.00 ,https://img.freepik.com/free-photo/pretty-woman-wearing-tshirt_1303-14678.jpg?w=1060&t=st=1699322625~exp=1699323225~hmac=f2a6ce59b8990917f372c5ae8988c9946f0c601a6c9504bf14f5beaff919ad37,S,Casual cotton tee with a trendy graphic print.,Apparel,Tops,Amazon
6549d21c3b31f5476d49df2f,47,Skirt, 40.00 ,https://img.freepik.com/free-photo/woman-wearing-blue-skirt_53876-97853.jpg?w=740&t=st=1699322680~exp=1699323280~hmac=f6f5471efd60f77755a0680abd4ed2d9cf5f7f5fbff07b24dfc7265ac2e089ce,S,Chic pleated skirt with a flattering A-line silhouette.,Apparel,Bottoms,Walmart
6549d21c3b31f5476d49df30,48,Shorts, 22.00 ,https://img.freepik.com/free-photo/man-black-shorts-summer-apparel-shoot_53876-125277.jpg?w=360&t=st=1699322731~exp=1699323331~hmac=b3b396b7256353732cddcc8c7b57a91dd5911c5eae7f3decbc3e72284d70a063,S,Lightweight shorts with built-in moisture wicking.,Apparel,Activewear,Amazon
6549d21c3b31f5476d49df31,49,Leather Satchel, 88.00 ,https://img.freepik.com/free-photo/front-view-backpack-ground_23-2148752382.jpg?w=996&t=st=1699322761~exp=1699323361~hmac=64de63e02c81a719aaea567bae1396f976e11d6a8baa125b156f5b23bf1d9554,One Size,Premium leather satchel with multiple compartments for everyday use.,Accessories,Bags,Walmart
6549d21c3b31f5476d49df32,50,Boots, 95.00 ,https://img.freepik.com/premium-photo/light-brown-cowboy-boots-with-shabby-toes-hat-isolated-white-background_124507-30959.jpg?w=996,7,Rugged lace-up boots designed for durability and style.,Footwear,Boots,Amazon
6549d21c3b31f5476d49df33,51,White Shirt, 45.90 ,https://img.freepik.com/free-vector/classic-mens-white-shirt_1441-2790.jpg?w=1060&t=st=1701220959~exp=1701221559~hmac=b70cea32eaf10a0600ee54a0222b7f048baee19fd8bee6007d18b60746f04301,S,worthy good looking,Appareal,Office wear,Walmart
6549d21c3b31f5476d49df34,52,blue blazer, 65.90 ,https://m.media-amazon.com/images/I/41WTbFelj3L._AC_SX679_.jpg,One Size,Nice looking Blazor,Appareal,Office wear,Amazon
6549d21c3b31f5476d49df35,53,Office belt, 23.45 ,https://m.media-amazon.com/images/I/71dz-r7zJWS._AC_SX679_.jpg,One Size,Great looking belt,Appareal,Office wear,Walmart
6549d21c3b31f5476d49df36,54,brown shoes, 45.67 ,https://m.media-amazon.com/images/I/51IpMXTq0-S._AC_SY695_.jpg,One Size,attractive shoes for your legs,Appareal,Office wear,Walmart
6549d21c3b31f5476d49df37,55,Office troucer, 50.45 ,https://www.yoox.com/images/items/13/13572980GW_14_f.jpg?impolicy=crop&width=387&height=490,S,Best troucer with good looking,Appareal,Office wear,Amazon
6549d21c3b31f5476d49df38,56,Office watch, 34.45 ,https://fossil.scene7.com/is/image/FossilPartners/FS5304_main?$sfcc_fos_large$,S,Nice looking watch,Appareal,Office wear,Walmart
6549d21c3b31f5476d49df39,57,Office skirt, 56.34 ,https://m.media-amazon.com/images/I/61HD6eu4YzL._AC_SY879_.jpg,S,Attractive skirt for office,Appareal,Office wear,Amazon
6549d21c3b31f5476d49df40,58,Women blazer, 45.67 ,https://m.media-amazon.com/images/I/41aJI2CS1QL._AC_SX679_.jpg,S,Great looking bla,Appareal,Office wear,Walmart
6549d21c3b31f5476d49df41,59,black heels, 34.56 ,https://m.media-amazon.com/images/I/61gOvaJJfAL._AC_SY695_.jpg,S,Great looking heels,Appareal,Office wear,Amazon
6549d21c3b31f5476d49df42,60,women shirt, 30.45 ,https://m.media-amazon.com/images/I/41kkW35Aa7S._AC_SX679_.jpg,S,Attractive and comfortable office wear,Appareal,Office wear,Walmart
6549d21c3b31f5476d49df43,61,women watch, 45.67 ,https://m.media-amazon.com/images/I/81glFxOZWNL._AC_SX679_.jpg,S,Good looking watch,Appareal,Office wear,Amazon
